fixed acidity,citric acid,sulphates,alcohol,quality
7.7,0.26,0.64,9.6,5
5.0,0.04,0.48,10.5,4
4.7,0.17,0.6,12.9,6
6.8,0.0,0.56,10.7,5
7.0,0.25,0.63,9.2,5
7.6,0.06,0.56,9.8,5
8.1,0.18,0.59,9.0,6
8.3,0.3,0.61,10.2,6
7.8,0.3,0.56,10.4,6
8.1,0.18,0.59,9.0,6
8.1,0.22,0.51,9.2,5
7.2,0.24,0.48,9.4,5
8.1,0.22,0.51,9.2,5
7.8,0.68,1.31,9.3,5
6.2,0.31,0.79,9.3,5
8.0,0.53,0.8,9.6,6
8.1,0.52,0.69,9.3,5
7.8,0.19,0.93,9.5,5
8.4,0.09,0.66,9.8,5
8.4,0.1,0.66,9.8,5
10.1,0.44,0.67,9.7,6
7.8,0.19,0.93,9.5,5
9.4,0.31,0.63,10.5,6
8.3,0.28,0.61,10.0,6
7.8,0.12,0.5,9.4,6
8.8,0.04,0.6,10.9,6
7.0,0.08,0.54,9.2,6
7.3,0.09,0.57,9.0,5
8.8,0.04,0.6,10.9,6
7.3,0.0,0.52,9.2,5
8.0,0.0,0.53,9.5,5
7.8,0.17,0.48,9.5,5
9.0,0.04,0.7,9.4,5
8.2,0.0,0.49,10.9,5
8.1,0.0,0.48,10.9,5
8.0,0.16,0.92,10.5,7
6.1,0.15,0.57,9.4,5
8.0,0.56,0.66,9.4,5
5.6,0.09,0.63,13.0,5
5.6,0.09,0.63,13.0,5
6.6,0.01,0.58,9.8,6
7.9,0.05,0.55,9.9,6
8.4,0.11,0.82,9.6,5
8.3,0.15,0.77,9.5,5
7.2,0.36,0.64,9.2,5
7.8,0.19,0.54,9.5,5
7.8,0.19,0.54,9.5,5
8.4,0.11,0.82,9.6,5
8.3,0.15,0.77,9.5,5
5.2,0.0,0.79,14.0,6
6.3,0.08,0.58,9.4,5
5.2,0.0,0.79,14.0,6
8.1,0.55,0.62,9.4,5
5.8,0.02,0.52,10.0,5
7.6,0.26,0.8,9.3,5
6.9,0.1,0.58,10.2,6
8.2,0.44,0.61,10.5,6
7.3,0.47,0.53,10.3,6
9.2,1.0,2.0,9.4,4
7.5,0.03,0.54,10.1,5
7.5,0.03,0.54,10.1,5
7.1,0.42,0.72,10.5,5
7.1,0.42,0.71,10.5,5
7.1,0.42,0.72,10.5,5
7.1,0.42,0.71,10.5,5
7.1,0.0,0.5,9.3,5
6.8,0.18,0.57,9.3,6
7.6,0.03,0.56,9.6,5
7.6,0.02,1.08,9.2,4
7.8,0.04,0.56,10.0,6
7.4,0.26,0.49,9.4,5
7.3,0.26,0.49,9.4,5
7.8,0.48,0.62,9.5,5
6.8,0.1,0.52,10.2,5
7.3,0.03,0.48,9.0,4
6.8,0.07,0.55,10.4,6
7.5,0.24,1.59,9.5,5
7.9,0.03,0.33,9.1,4
8.0,0.17,0.61,9.2,6
8.0,0.17,0.61,9.2,6
7.4,0.05,0.57,11.5,6
7.3,0.21,0.47,9.5,5
6.9,0.04,0.78,9.5,5
7.3,0.21,0.47,9.5,5
7.5,0.42,0.61,10.5,6
7.0,0.0,0.56,9.6,5
8.8,0.14,0.59,9.5,5
8.8,0.14,0.59,9.5,5
8.9,0.49,1.02,9.3,5
7.2,0.02,0.52,9.3,5
6.8,0.2,0.58,9.3,5
6.7,0.21,0.58,9.3,6
8.9,0.57,0.53,9.7,5
7.4,0.48,0.55,9.2,5
7.7,0.1,0.49,9.7,5
7.9,0.33,0.55,9.5,5
7.9,0.32,0.55,9.5,5
8.2,0.35,0.62,9.4,5
6.4,0.25,0.62,9.8,6
6.8,0.12,0.61,9.5,5
7.6,0.21,0.55,9.7,5
7.6,0.21,0.55,9.7,5
7.8,0.33,0.54,9.4,5
7.3,0.3,0.59,10.2,5
11.5,0.6,0.97,10.1,6
5.4,0.08,0.85,13.0,7
6.9,0.06,0.43,11.4,4
9.6,0.47,0.82,10.3,7
8.8,0.48,1.03,9.3,5
6.8,0.11,0.79,9.5,5
7.0,0.35,0.55,9.2,5
7.0,0.36,0.56,9.2,6
12.8,0.74,0.77,10.8,7
12.8,0.74,0.77,10.8,7
7.8,0.31,0.53,9.3,5
7.8,0.28,0.67,9.4,5
11.0,0.58,0.88,10.5,7
9.7,0.6,0.86,12.4,6
8.0,0.24,0.56,10.0,6
11.6,0.64,0.67,10.2,6
8.2,0.26,0.43,10.1,5
7.8,0.08,0.71,9.8,6
7.0,0.49,0.76,10.5,5
8.7,0.16,0.57,11.0,5
8.1,0.22,0.55,9.1,5
7.5,0.19,0.54,9.7,5
7.8,0.33,0.6,9.5,5
7.8,0.37,0.59,9.4,6
7.4,0.26,0.57,9.4,5
6.8,0.04,0.6,9.5,5
8.6,0.25,0.6,10.0,6
8.4,0.36,0.57,10.4,4
7.7,0.25,0.58,10.5,6
8.9,0.5,1.61,9.5,6
9.0,0.14,0.63,9.8,5
7.7,0.25,0.58,10.5,6
6.9,0.25,0.5,11.0,5
5.2,0.04,0.62,12.2,7
8.0,0.06,0.52,9.9,6
8.5,0.2,0.7,9.6,6
6.9,0.25,0.5,11.0,5
8.2,0.09,0.55,9.0,6
7.2,0.0,0.58,9.0,6
7.2,0.0,0.58,9.0,6
7.2,0.0,0.58,9.2,6
7.2,0.0,0.58,9.0,6
8.2,0.09,0.55,9.0,6
8.9,0.37,1.09,9.3,5
12.0,0.56,0.71,10.9,6
7.7,0.1,0.49,9.8,6
15.0,0.44,0.84,9.2,7
15.0,0.44,0.84,9.2,7
7.3,0.0,0.96,9.9,6
7.1,0.07,0.52,9.5,5
8.2,0.17,0.45,9.3,5
7.7,0.06,0.48,9.8,6
7.3,0.0,0.96,9.9,6
10.8,0.44,0.78,10.0,6
7.1,0.0,0.7,9.9,6
11.1,0.48,0.53,10.5,5
7.7,0.42,0.59,9.5,5
7.1,0.0,0.7,9.9,6
8.0,0.23,0.57,9.3,5
9.4,0.37,0.62,9.2,5
6.6,0.0,0.67,9.2,5
7.7,0.76,1.26,9.4,5
10.0,0.47,0.8,10.5,7
7.9,0.23,0.65,9.3,5
7.0,0.04,0.6,9.4,4
8.0,0.03,0.57,10.0,5
7.9,0.23,0.67,9.3,5
12.5,0.49,0.87,10.9,5
11.8,0.52,0.72,10.2,7
8.1,0.0,0.72,9.8,4
7.9,0.46,0.86,12.8,8
6.9,0.04,0.91,9.4,6
11.5,0.51,0.97,10.1,6
7.9,0.06,0.67,10.7,6
11.5,0.51,0.97,10.1,6
10.9,0.58,0.78,10.1,5
8.4,0.2,0.64,9.4,5
7.5,0.18,0.77,9.4,5
7.9,0.06,0.67,10.7,6
6.9,0.04,0.91,9.4,6
11.5,0.51,0.97,10.1,6
10.3,0.45,0.82,12.6,8
8.9,0.32,0.77,10.5,7
11.4,0.44,0.82,9.3,6
7.7,0.68,1.08,9.9,7
7.6,0.12,0.57,9.1,5
8.9,0.32,0.77,10.5,7
9.9,0.07,0.71,9.8,5
9.9,0.07,0.71,9.8,5
12.0,0.55,0.76,10.3,6
7.5,0.12,0.7,10.3,6
8.7,0.09,0.86,10.6,7
11.6,0.53,0.95,9.2,5
8.7,0.09,0.86,10.6,7
11.0,0.48,0.71,10.5,5
10.4,0.23,0.64,10.3,6
6.9,0.25,0.6,10.1,6
13.3,0.52,0.81,9.5,6
10.8,0.46,0.64,9.5,5
10.6,0.37,0.52,9.9,5
7.1,0.06,0.73,9.6,5
7.2,0.02,0.8,9.7,5
6.9,0.06,0.71,9.6,5
7.5,0.06,0.59,10.7,6
11.1,0.48,0.64,10.1,6
8.3,0.12,0.72,10.0,5
7.4,0.12,0.54,9.5,5
8.4,0.6,0.52,9.2,5
10.3,0.48,0.59,9.3,6
7.6,0.32,0.52,9.4,5
10.3,0.42,0.62,9.5,6
10.3,0.44,0.63,9.5,6
7.4,0.38,0.53,9.5,6
10.3,0.48,0.59,9.3,6
7.9,0.24,0.54,9.4,6
9.0,0.31,0.63,9.5,6
8.6,0.3,0.53,9.4,5
7.4,0.29,0.68,11.0,5
7.1,0.29,0.65,11.0,6
9.6,0.23,0.65,10.1,5
9.6,0.12,0.64,10.4,6
9.8,0.39,0.71,11.5,7
9.6,0.12,0.64,10.4,6
9.8,0.39,0.71,11.5,7
9.3,0.26,0.62,9.7,5
7.8,0.05,0.63,9.3,5
10.3,0.42,0.7,9.5,6
10.0,0.2,0.69,9.2,6
10.0,0.2,0.69,9.2,6
11.6,0.66,0.74,11.5,7
10.3,0.5,0.83,11.5,5
13.4,0.62,0.67,9.7,6
10.7,0.39,0.62,9.5,5
10.2,0.64,0.66,12.5,6
10.2,0.64,0.66,12.5,6
8.0,0.28,0.54,9.4,6
8.4,0.08,0.52,11.0,5
7.9,0.01,0.74,11.7,7
11.9,0.53,0.84,12.2,7
8.9,0.45,0.7,12.5,6
7.8,0.32,0.64,10.3,5
12.4,0.58,1.0,11.5,6
12.5,0.54,1.36,9.8,7
12.2,0.5,1.18,9.2,6
10.6,0.48,0.87,11.3,6
10.9,0.47,0.75,9.8,6
10.9,0.47,0.75,9.8,6
11.9,0.5,0.78,10.7,6
7.0,0.0,0.81,9.9,5
6.6,0.02,0.89,12.3,7
13.8,0.67,0.93,12.0,6
9.6,0.31,0.92,10.0,6
9.1,0.0,0.86,9.4,6
10.7,0.22,0.98,9.9,6
9.1,0.0,0.83,9.4,6
7.7,0.0,0.73,9.3,5
13.5,0.79,0.77,13.0,5
6.1,0.4,0.59,11.9,6
6.7,0.01,0.61,12.8,6
11.5,0.52,0.88,11.0,5
10.5,0.66,0.75,11.7,7
11.9,0.66,0.85,10.4,7
12.6,0.66,0.68,9.8,6
8.2,0.23,0.7,9.4,5
8.6,0.31,0.91,9.9,6
11.9,0.66,0.56,10.0,5
12.5,0.63,0.87,10.2,5
12.8,0.66,0.73,10.0,7
10.0,0.5,0.93,11.8,6
12.8,0.66,0.73,10.0,7
10.4,0.61,0.69,9.0,5
10.3,0.52,0.64,9.4,5
9.4,0.53,1.13,12.0,7
6.9,0.02,0.78,9.9,5
7.9,0.4,0.87,8.7,6
9.1,0.48,1.04,10.6,6
7.4,0.22,0.63,9.2,5
14.0,0.63,0.81,10.8,6
11.5,0.71,0.83,11.8,7
11.5,0.5,1.11,11.0,6
9.4,0.53,1.13,12.0,7
11.4,0.66,0.99,13.3,6
8.3,0.38,0.7,10.8,6
8.3,0.42,0.8,9.4,6
13.7,0.68,0.8,10.0,6
8.3,0.42,0.8,9.4,6
8.3,0.42,0.8,9.4,6
7.7,0.28,0.74,9.2,5
7.4,0.07,0.76,9.7,6
7.8,0.26,0.74,9.2,6
8.3,0.15,0.54,9.6,6
7.8,0.26,0.74,9.2,6
9.6,0.31,0.7,10.0,7
5.6,0.05,0.82,12.9,8
13.7,0.68,0.8,10.0,6
9.5,0.52,0.51,9.5,5
8.4,0.61,0.54,9.1,5
12.7,0.65,0.57,9.9,5
12.0,0.76,0.6,13.0,7
6.6,0.02,0.53,9.9,5
11.5,0.59,0.65,11.0,6
11.5,0.59,0.65,11.0,6
8.7,0.22,0.55,9.4,5
6.6,0.02,0.53,9.9,5
7.7,0.3,0.47,10.8,6
12.2,0.54,0.61,10.5,6
11.4,0.49,0.63,10.5,6
7.7,0.05,0.61,9.1,5
8.7,0.46,0.76,10.1,6
9.8,0.47,0.65,10.8,6
12.0,0.66,0.63,10.8,7
10.4,0.58,0.7,11.3,6
12.5,0.49,0.57,9.6,4
9.0,0.34,0.62,9.5,6
9.1,0.35,0.62,9.5,5
7.1,0.16,0.64,9.3,5
9.9,0.53,0.82,11.7,7
8.8,0.34,0.61,9.5,5
8.6,0.24,1.07,9.3,5
10.6,0.64,0.66,11.7,6
7.0,0.12,0.48,10.5,5
11.9,0.51,0.76,10.4,6
6.8,0.0,0.68,9.9,5
9.5,0.33,0.73,11.8,7
6.6,0.03,0.56,12.3,7
7.7,0.2,0.44,10.9,5
10.5,0.47,0.9,11.0,7
7.7,0.2,0.44,10.9,5
6.6,0.03,0.56,12.3,7
6.4,0.08,0.49,11.4,6
9.5,0.22,0.56,10.6,6
9.1,0.33,0.6,9.3,5
12.8,0.63,0.6,10.4,6
10.5,0.47,0.9,11.0,7
7.8,0.35,0.56,9.2,5
11.9,0.69,0.65,12.8,6
12.3,0.63,0.49,9.5,5
10.4,0.55,0.89,9.9,6
12.3,0.63,0.49,9.5,5
8.0,0.3,0.56,10.2,6
11.1,0.73,0.66,11.2,6
10.4,0.55,0.89,9.9,6
7.0,0.18,0.6,9.3,5
12.6,0.72,0.82,9.8,8
11.9,0.65,0.68,11.3,6
15.6,0.76,0.68,11.2,7
10.0,0.49,0.63,11.6,7
5.3,0.01,0.84,12.5,7
9.5,0.1,0.56,10.1,6
12.5,0.6,0.73,10.5,5
9.3,0.29,0.72,11.2,5
8.6,0.22,0.56,10.2,6
11.9,0.69,0.61,10.8,6
11.9,0.69,0.61,10.8,6
8.4,0.53,1.06,9.1,6
6.8,0.03,0.63,10.0,6
10.4,0.63,0.74,11.2,7
7.0,0.4,0.63,11.1,5
11.3,0.67,0.69,13.4,8
8.9,0.39,0.58,10.3,5
9.2,0.21,0.58,9.6,5
10.4,0.63,0.74,11.2,7
11.6,0.66,0.57,9.0,3
9.2,0.52,0.61,11.3,6
8.3,0.22,0.61,9.3,5
11.0,0.68,0.61,11.8,5
8.1,0.7,0.53,9.0,5
11.5,0.54,0.7,9.2,6
10.0,0.4,0.91,9.7,5
10.3,0.42,0.72,11.5,6
8.8,0.45,0.79,14.0,6
11.4,0.69,0.62,9.2,6
8.7,0.02,0.58,9.8,5
13.0,0.65,0.61,10.6,5
9.6,0.42,0.71,11.4,6
12.5,0.55,0.82,10.4,6
9.9,0.55,0.79,10.6,5
10.5,0.51,0.89,9.4,6
9.6,0.24,0.6,10.2,5
9.3,0.41,0.7,9.7,5
10.4,0.49,1.06,11.0,6
9.6,0.24,0.6,10.2,5
9.4,0.11,0.7,10.1,6
10.6,0.39,0.66,9.2,5
9.4,0.56,0.92,11.7,8
10.6,0.59,1.05,9.4,5
10.6,0.6,1.06,9.4,5
10.6,0.68,0.66,13.4,6
10.2,0.39,0.47,10.0,5
10.2,0.39,0.47,10.0,5
10.2,0.36,0.42,10.0,6
11.6,0.55,0.92,10.8,7
9.3,0.4,0.75,10.2,6
9.3,0.27,0.67,10.6,6
9.2,0.5,0.79,13.3,7
8.9,0.51,0.9,13.4,7
8.7,0.31,0.74,11.6,6
6.5,0.23,0.55,12.1,6
10.7,0.53,0.65,11.0,8
7.8,0.25,0.65,9.0,6
7.2,0.32,0.79,11.1,5
10.7,0.53,0.65,11.0,8
8.7,0.31,0.74,11.6,6
7.8,0.25,0.65,9.0,6
10.4,0.73,0.85,12.0,7
10.4,0.73,0.85,12.0,7
10.5,0.47,1.04,10.9,7
10.5,0.42,1.05,10.8,7
10.2,0.63,0.78,12.5,7
10.4,0.46,1.02,10.8,7
11.2,0.55,0.71,9.5,6
10.0,0.31,0.63,10.2,6
13.3,0.75,0.68,11.4,7
12.4,0.49,0.61,9.5,5
10.0,0.31,0.63,10.2,6
10.7,0.48,0.81,9.7,6
10.5,0.64,0.66,11.8,7
10.5,0.64,0.66,11.8,7
8.5,0.49,1.14,9.3,5
12.5,0.49,0.74,11.9,6
10.4,0.49,0.63,8.4,3
10.9,0.49,0.68,11.7,6
7.3,0.49,0.78,11.0,5
9.8,0.49,0.9,10.0,6
7.6,0.49,0.64,9.1,5
8.2,0.49,0.99,9.8,5
9.3,0.49,0.55,9.4,5
9.2,0.49,0.64,9.5,5
10.4,0.24,0.67,9.9,5
7.3,0.49,0.78,11.0,5
7.0,0.49,0.77,11.4,6
8.2,0.49,0.75,8.7,6
9.9,0.24,0.57,9.4,5
9.1,0.24,0.87,10.3,6
11.9,0.49,0.61,10.3,5
11.9,0.49,0.61,10.3,5
10.3,0.24,0.66,12.8,6
10.0,0.24,0.56,10.0,6
9.1,0.24,0.87,10.3,6
9.9,0.24,0.57,9.4,5
8.1,0.24,0.77,10.7,6
12.9,0.49,0.66,12.0,7
11.2,0.74,0.62,11.2,5
9.2,0.24,0.67,9.6,5
9.5,0.49,0.73,11.0,6
9.3,0.24,0.59,9.9,5
11.2,0.24,0.72,11.0,6
14.3,0.74,0.79,8.4,6
9.1,0.49,0.59,9.1,5
7.5,0.24,0.78,9.5,6
10.6,0.49,0.86,10.7,6
12.4,0.49,0.75,10.4,6
9.0,0.49,0.61,9.4,6
6.8,0.01,0.56,9.5,6
9.4,0.24,0.73,10.0,6
9.5,0.24,0.74,10.0,6
5.0,0.24,0.62,11.5,5
15.5,0.49,0.74,11.1,5
15.5,0.49,0.74,11.1,5
10.9,0.49,0.56,11.7,6
15.6,0.49,0.74,11.1,5
10.9,0.49,0.56,11.7,6
13.0,0.49,0.68,12.7,6
12.7,0.49,0.57,11.4,5
9.0,0.49,0.58,9.2,5
9.0,0.49,0.61,9.2,5
7.6,0.49,0.61,10.1,6
13.0,0.49,0.68,12.7,6
12.7,0.49,0.57,11.4,5
8.7,0.24,0.6,9.0,6
8.7,0.24,0.6,9.0,6
9.8,0.49,0.79,10.7,6
6.2,0.24,0.57,11.7,6
11.5,0.49,0.91,11.0,6
6.2,0.24,0.57,11.7,6
10.2,0.49,0.61,10.4,5
10.5,0.49,0.56,9.6,4
10.6,0.49,0.7,10.0,6
12.3,0.49,0.8,10.2,6
9.9,0.24,0.52,10.0,4
8.8,0.49,0.6,9.5,5
8.8,0.49,0.6,9.8,5
10.6,0.49,0.51,9.8,6
12.3,0.49,0.44,9.6,5
12.3,0.49,0.44,9.6,5
11.7,0.49,0.43,9.2,5
12.0,0.49,0.66,9.9,7
11.8,0.49,0.76,10.7,7
7.6,0.24,0.66,9.6,6
11.1,0.49,1.02,10.6,7
7.3,0.24,0.59,9.3,5
5.0,0.24,0.74,14.0,8
10.2,0.49,0.74,10.5,7
9.0,0.49,0.57,9.7,5
6.6,0.49,0.5,11.5,6
9.0,0.49,0.57,9.7,5
9.9,0.58,0.58,9.0,5
7.9,0.17,0.53,9.5,5
8.9,0.41,0.57,9.3,5
12.4,0.51,0.6,9.3,6
11.9,0.58,0.63,10.0,6
8.5,0.18,0.48,9.8,6
12.7,0.45,0.7,9.3,6
8.2,0.27,0.47,10.0,4
13.2,0.52,0.56,9.0,6
7.7,0.0,0.52,9.3,5
13.2,0.52,0.56,9.0,6
8.3,0.13,0.62,9.1,6
8.3,0.13,0.59,9.2,6
9.4,0.48,0.79,12.2,7
8.8,0.41,0.53,10.5,6
10.1,0.37,0.64,10.4,6
6.3,0.19,0.52,12.7,6
8.8,0.54,0.54,9.2,5
13.2,0.55,0.54,9.4,5
7.5,0.0,0.6,10.0,6
8.2,0.38,0.74,9.8,5
9.2,0.18,1.36,10.2,6
9.6,0.5,0.57,9.7,5
9.6,0.5,0.57,9.7,5
11.5,0.51,0.93,9.8,6
11.4,0.5,0.7,10.2,5
11.3,0.41,0.8,9.3,5
8.3,0.24,0.61,9.4,5
8.2,0.23,0.62,9.4,5
10.0,0.22,0.55,9.5,5
7.9,0.25,0.96,12.1,6
6.8,0.0,0.72,10.2,5
6.8,0.0,0.72,10.2,5
8.8,0.29,0.49,9.1,5
8.8,0.29,0.49,9.1,5
8.7,0.26,0.6,9.3,6
7.6,0.23,0.61,9.3,5
8.7,0.26,0.6,9.3,6
10.4,0.54,0.63,9.5,5
7.6,0.14,0.57,10.5,6
10.1,0.22,0.64,11.3,4
7.9,0.21,0.58,9.5,5
8.7,0.0,0.55,9.7,5
9.6,0.28,0.53,9.4,5
9.5,0.27,0.53,9.4,5
7.7,0.12,0.65,10.2,7
8.9,0.35,1.36,10.3,6
9.9,0.45,0.62,9.4,5
9.5,0.44,0.63,9.5,5
9.9,0.45,0.62,9.4,5
9.5,0.44,0.63,9.5,5
9.9,0.45,0.62,9.4,5
7.8,0.1,0.69,10.1,7
7.3,0.05,0.63,10.1,5
8.3,0.01,0.58,11.0,4
8.7,0.3,0.67,11.2,7
6.7,0.27,0.57,11.3,6
10.7,0.39,0.5,9.6,5
9.8,0.25,0.67,11.2,5
15.9,0.65,0.84,14.9,5
9.4,0.59,0.54,12.0,6
8.6,0.47,0.46,9.5,5
9.7,0.17,0.61,9.4,5
10.7,0.39,0.5,9.6,5
12.0,0.59,0.68,10.5,7
7.2,0.07,0.81,9.6,6
7.1,0.02,0.57,11.0,4
7.2,0.07,0.81,9.6,6
7.5,0.31,0.64,9.0,5
7.2,0.06,0.7,9.6,6
10.1,0.46,0.79,10.2,6
12.1,0.52,0.66,10.2,5
9.4,0.14,0.56,9.7,5
8.3,0.36,0.6,9.5,6
11.3,0.45,0.66,9.2,6
10.0,0.43,0.57,11.0,5
11.3,0.45,0.66,9.2,6
6.9,0.24,0.58,10.0,5
8.2,0.21,0.52,9.5,5
9.8,0.34,0.53,9.5,5
8.2,0.21,0.52,9.5,5
10.8,0.41,0.67,9.3,6
9.3,0.39,0.65,10.2,5
10.8,0.41,0.67,9.3,6
8.6,0.11,0.48,9.9,5
8.3,0.1,0.53,10.0,5
10.8,0.45,0.54,9.6,5
13.3,0.58,0.49,9.0,5
8.0,0.23,0.49,10.2,6
8.5,0.31,0.54,9.8,5
8.1,0.23,0.56,11.3,5
9.8,0.32,0.48,9.4,5
8.1,0.23,0.56,11.3,5
7.1,0.18,0.6,9.1,5
9.1,0.23,0.59,9.7,5
7.7,0.04,0.47,9.4,5
8.1,0.48,1.05,9.4,5
7.4,0.0,0.54,10.7,3
9.2,0.24,0.54,9.8,5
8.6,0.51,1.17,9.0,5
9.0,0.32,0.62,9.4,5
9.0,0.31,0.61,9.4,5
5.1,0.02,0.62,12.8,6
7.0,0.02,0.67,9.5,6
7.0,0.02,0.67,9.5,6
9.4,0.28,0.53,9.7,5
11.8,0.55,0.62,10.8,6
10.6,0.43,0.57,10.1,6
7.0,0.02,0.67,9.5,6
7.0,0.02,0.67,9.4,6
7.5,0.48,0.7,9.6,4
9.1,0.04,0.54,9.7,4
8.4,0.15,0.49,9.9,5
7.0,0.08,0.47,10.0,5
7.4,0.19,0.51,10.5,5
7.8,0.12,0.61,11.6,6
9.7,0.47,0.66,10.0,6
10.6,0.43,0.57,10.1,5
8.9,0.34,0.61,9.5,5
8.7,0.0,0.45,9.4,5
8.0,0.36,0.46,9.4,5
9.9,0.28,0.51,9.8,5
7.2,0.18,0.48,9.2,6
8.0,0.36,0.46,9.4,5
7.6,0.11,0.57,10.0,5
8.4,0.04,0.44,9.6,5
7.1,0.0,0.54,9.5,5
8.4,0.04,0.44,9.6,5
8.9,0.24,0.53,9.2,5
7.6,0.08,0.59,10.0,5
7.1,0.3,1.62,9.5,5
7.5,0.1,0.6,11.2,4
9.0,0.17,0.55,10.4,5
8.1,0.09,0.72,11.1,6
6.4,0.02,0.68,9.5,5
6.4,0.02,0.68,9.5,5
6.4,0.03,0.49,12.7,6
9.5,0.66,0.67,9.6,5
8.9,0.13,0.52,11.5,5
7.3,0.03,0.47,9.6,5
7.0,0.34,0.6,9.5,5
7.7,0.2,0.62,9.3,5
7.7,0.1,0.5,9.5,5
7.7,0.1,0.5,9.5,5
8.2,0.0,0.65,9.3,6
9.0,0.23,0.56,9.2,5
9.0,0.0,0.6,9.3,5
8.3,0.29,0.68,11.5,6
9.2,0.24,0.57,9.5,5
6.5,0.0,0.65,9.2,5
11.6,0.58,0.53,10.0,5
11.1,0.54,0.51,9.5,5
7.3,0.18,0.73,9.5,6
8.2,0.38,0.47,9.0,6
8.6,0.4,0.48,9.4,5
7.2,0.18,0.72,9.6,6
7.3,0.18,0.73,9.5,6
8.3,0.1,0.55,9.5,5
8.3,0.1,0.55,9.5,5
7.6,0.13,0.61,9.4,5
8.3,0.1,0.55,9.5,5
7.8,0.68,1.06,9.1,6
7.8,0.07,0.43,10.7,6
6.3,0.01,0.46,11.2,6
8.1,0.0,0.5,9.8,5
8.1,0.0,0.5,9.8,5
8.8,0.21,0.52,9.2,5
9.0,0.25,0.57,9.7,5
9.3,0.26,0.42,9.6,5
8.8,0.0,0.53,10.0,6
9.3,0.26,0.42,9.6,5
9.1,0.11,0.55,9.5,6
9.2,0.1,0.54,9.5,6
8.8,0.18,0.54,9.4,5
7.5,0.32,0.62,9.5,5
7.1,0.02,0.53,9.7,6
7.9,0.01,0.54,9.6,5
7.1,0.02,0.53,9.7,6
9.4,0.26,0.55,9.4,5
9.5,0.27,0.55,9.4,5
7.9,0.29,0.92,9.5,6
7.9,0.3,0.91,9.5,6
